mean,sd,min,max,cv,n,region_id,indicator
1013437,9426.643151785853,1001710,1028060,0.00930165678950527,10,CH01,pop_tot_total
1063266,39982.32948580049,1009750,1114510,0.037603317971044395,10,CH02,pop_tot_total
618492,16202.178042884647,595070,642250,0.026196261298261976,10,CH03,pop_tot_total
788810,5136.5877129991,783240,800900,0.0065118187053905255,10,CH04,pop_tot_total
693602,33267.22805137546,652120,748820,0.04796299326036468,10,CH05,pop_tot_total
465260,20935.02965526122,434000,487950,0.04499640986816236,10,CH06,pop_tot_total
186888,1561.771074418043,184080,189050,0.008356722071069534,10,CH07,pop_tot_total
NA,NA,Inf,-Inf,NA,0,RS11,pop_tot_total
NA,NA,Inf,-Inf,NA,0,RS12,pop_tot_total
NA,NA,Inf,-Inf,NA,0,RS21,pop_tot_total
NA,NA,Inf,-Inf,NA,0,RS22,pop_tot_total
11910949,376261.52862219536,11360620,12492890,0.031589550809276015,10,TR10,pop_tot_total
1411686,44289.65873780369,1345820,1476130,0.03137359068362489,10,TR21,pop_tot_total
1265060,32713.71849511727,1222660,1325500,0.0258594204979347,10,TR22,pop_tot_total
3066345,34928.98167870216,2993610,3105240,0.011391080155266992,10,TR31,pop_tot_total
2154587,65420.53755851021,2045210,2229750,0.03036337709199499,10,TR32,pop_tot_total
2357209,51656.608365027,2296210,2427970,0.021914309832105256,10,TR33,pop_tot_total
3027193,89203.75466063946,2889340,3163220,0.029467481809266692,10,TR41,pop_tot_total
3040248,160834.5159058424,2772920,3220020,0.05290177508737524,10,TR42,pop_tot_total
4343812,140267.45934503523,4159660,4534280,0.03229132829529345,10,TR51,pop_tot_total
2050941,100143.12629099081,1897590,2177620,0.04882789231430393,10,TR52,pop_tot_total
2349997,154532.73936109606,2089400,2507000,0.06575869644135549,10,TR61,pop_tot_total
2945883,66017.46503767015,2883200,3066900,0.022410077059296023,10,TR62,pop_tot_total
2445019,117659.10820388421,2316930,2613550,0.04812196068982867,10,TR63,pop_tot_total
1337951,88847.10180354162,1200140,1430510,0.06640534803108755,10,TR71,pop_tot_total
1981820,71154.26839699155,1881920,2070310,0.03590349698609942,10,TR72,pop_tot_total
827341,28410.0375258855,784220,859930,0.034338969694340665,10,TR81,pop_tot_total
594827,20818.09578761281,563810,638490,0.03499857233718848,10,TR82,pop_tot_total
2080604,58425.71526686211,1998020,2160150,0.02808113185731745,10,TR83,pop_tot_total
2041053,71108.07471729213,1893960,2130190,0.03483891634234492,10,TR90,pop_tot_total
1093207,39406.08414671239,1034050,1150680,0.03604631524195545,10,TRA1,pop_tot_total
1110036,33066.24031983208,1056110,1160610,0.029788439581988405,10,TRA2,pop_tot_total
1511278,71721.65794080458,1344950,1573350,0.047457620597140024,10,TRB1,pop_tot_total
2217165,73325.47613210569,2091720,2327840,0.03307172724272018,10,TRB2,pop_tot_total
2316045,88218.366851807,2167640,2430430,0.038090091881551096,10,TRC1,pop_tot_total
3322545,79038.21062555054,3210180,3473050,0.023788454520721477,10,TRC2,pop_tot_total
2283710,37506.362126977874,2223860,2336290,0.016423434729881586,10,TRC3,pop_tot_total
