STRUCTURE,STRUCTURE_ID,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1997,25.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1998,26.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,1999,28.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2000,28.9,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2001,31.1,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2002,32.3,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2003,35.1,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2004,37.6,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2005,39.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2006,40.8,,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2007,36.2,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2008,36.2,b,
dataflow,ESTAT:EDAT_LFSE_03(1.0),A,T,Y25-34,PC,ED5-8,DK,2009,37.4,,
